,team,result,details,drive_start,game_id
0,buf,FIELD GOAL,"4 PLAYS, 5 YARDS, 1:30",1st & 10 at PIT 24,401326308
1,pit,PUNT,"5 PLAYS, 22 YARDS, 2:55",1st & 10 at PIT 25,401326308
2,buf,PUNT,"10 PLAYS, 33 YARDS, 5:30",1st & 10 at BUF 12,401326308
3,pit,PUNT,"3 PLAYS, -7 YARDS, 1:15",1st & 10 at PIT 20,401326308
4,buf,PUNT,"3 PLAYS, 9 YARDS, 1:09",1st & 10 at BUF 37,401326308
5,pit,PUNT,"6 PLAYS, 25 YARDS, 3:40",1st & 10 at PIT 13,401326308
6,buf,PUNT,"7 PLAYS, 34 YARDS, 3:03",1st & 10 at BUF 23,401326308
7,pit,PUNT,"3 PLAYS, -2 YARDS, 1:26",1st & 10 at PIT 7,401326308
8,buf,FUMBLE,"3 PLAYS, -8 YARDS, 0:54",1st & 10 at PIT 35,401326308
9,pit,PUNT,"4 PLAYS, 0 YARDS, 2:37",1st & 10 at PIT 45,401326308
10,buf,TOUCHDOWN,"13 PLAYS, 91 YARDS, 5:39",1st & 10 at BUF 9,401326308
11,pit,END OF HALF,"1 PLAY, -1 YARD, 0:22",1st & 10 at PIT 25,401326308
12,pit,FIELD GOAL,"10 PLAYS, 69 YARDS, 4:37",1st & 10 at PIT 25,401326308
13,buf,DOWNS,"12 PLAYS, 40 YARDS, 4:35",1st & 10 at BUF 25,401326308
14,pit,FIELD GOAL,"11 PLAYS, 62 YARDS, 4:01",1st & 10 at PIT 36,401326308
15,buf,DOWNS,"8 PLAYS, 27 YARDS, 3:05",1st & 10 at BUF 25,401326308
16,pit,TOUCHDOWN,"4 PLAYS, 52 YARDS, 2:23",1st & 10 at PIT 48,401326308
17,buf,BLOCKED PUNT TOUCHDOWN,"3 PLAYS, -2 YARDS, 1:34",1st & 10 at BUF 25,401326308
18,buf,FIELD GOAL,"9 PLAYS, 67 YARDS, 4:22",1st & 10 at BUF 26,401326308
19,pit,FIELD GOAL,"9 PLAYS, 48 YARDS, 2:41",1st & 10 at PIT 25,401326308
20,buf,FIELD GOAL,"10 PLAYS, 40 YARDS, 1:56",1st & 10 at BUF 36,401326308
21,pit,END OF GAME,"2 PLAYS, -2 YARDS, 0:46",1st & 10 at BUF 45,401326308
22,nyj,PUNT,"6 PLAYS, -3 YARDS, 3:36",1st & 10 at NYJ 25,401326309
23,car,PUNT,"4 PLAYS, 16 YARDS, 2:26",1st & 10 at CAR 26,401326309
24,nyj,PUNT,"3 PLAYS, -13 YARDS, 1:20",1st & 10 at NYJ 22,401326309
25,car,PUNT,"4 PLAYS, 17 YARDS, 3:01",1st & 10 at 50,401326309
26,nyj,PUNT,"6 PLAYS, 5 YARDS, 3:27",1st & 10 at NYJ 15,401326309
27,car,FUMBLE,"11 PLAYS, 76 YARDS, 4:40",1st & 10 at CAR 15,401326309
28,nyj,INTERCEPTION,"4 PLAYS, 42 YARDS, 2:04",1st & 10 at NYJ 9,401326309
29,car,FIELD GOAL,"6 PLAYS, 29 YARDS, 2:00",1st & 10 at NYJ 32,401326309
30,nyj,DOWNS,"7 PLAYS, 32 YARDS, 3:12",1st & 10 at NYJ 25,401326309
31,car,TOUCHDOWN,"1 PLAY, 57 YARDS, 0:08",1st & 10 at CAR 43,401326309
32,nyj,PUNT,"3 PLAYS, -3 YARDS, 1:31",1st & 10 at NYJ 25,401326309
33,car,TOUCHDOWN,"7 PLAYS, 62 YARDS, 2:00",1st & 10 at CAR 38,401326309
34,nyj,END OF HALF,"1 PLAY, 2 YARDS, 0:35",1st & 10 at NYJ 25,401326309
35,car,PUNT,"3 PLAYS, -1 YARD, 1:40",1st & 10 at CAR 21,401326309
36,nyj,PUNT,"5 PLAYS, 6 YARDS, 1:42",1st & 10 at NYJ 41,401326309
37,car,PUNT,"5 PLAYS, 22 YARDS, 2:15",1st & 10 at CAR 16,401326309
